coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,hemisphere
554,1983.17232447583,2402.42228525417,122,100,208,right
554,1916.84991322655,2278.56717990914,118,112,208,right
552,1880.09291422093,2066.81490302892,117,133,206,right
552,1872.10226226319,2499.90823913865,113,92,210,right
552,1898.47141372374,2507.89889109639,115,92,209,right
552,1884.0882401998,2404.81948084149,114,101,209,right
552,1911.25645685613,2184.27748680776,118,121,207,right
552,1886.48543578712,2211.44570346409,117,118,207,right
552,1881.69104461248,2149.11861819369,117,125,207,right
552,1987.1676504547,2124.34759712468,125,127,206,right
550,1978.37793330118,2368.06248183587,122,104,209,right
550,1832.14900247446,2070.01116381202,115,133,208,right
549,1943.92141628226,2546.6654719769,118,88,212,right
549,2017.81435751091,2448.1415503387,124,96,211,right
548,1750.76267517579,2499.99624593775,105,93,212,right
548,1906.32676197295,2593.98288171103,115,83,212,right
548,1833.73018813428,2102.65964091001,114,129,209,right
548,1866.13937288368,2076.08410941549,116,132,209,right
548,1836.32292291423,2124.04970284462,114,128,209,right
548,1945.21778367224,2636.11482188526,117,80,212,right
548,2024.94437815578,2206.36903210811,127,119,209,right
546,1912.80859892283,1997.65388232192,121,139,209,right
546,1976.33060103167,1953.57739106273,126,143,209,right
548,1616.58865031324,2429.99240687903,97,100,212,right
548,1836.60784869385,2519.85502113873,111,91,212,right
548,2057.94890792336,1916.56079832906,132,147,207,right
546,1715.14993893614,2429.56065401623,103,100,213,right
546,1914.11717268397,2503.07465202747,116,92,213,right
546,1807.0424364502,2430.359719212,110,99,213,right
545,1941.2853893403,2433.5559799951,119,98,212,right
545,1786.26674136007,2468.71484860917,107,97,213,right
544,1792.65926292626,2497.48119565705,108,93,214,right
544,1823.82280556146,2257.76163692473,112,115,213,right
544,1925.30408542481,2485.49521772043,117,93,214,right
543,1870.96765211215,2250.57005016276,116,115,212,right
543,1889.34615161497,2275.34107123177,117,114,212,right
543,2006.8087353938,2500.67745644015,122,92,214,right
542,1769.4863722488,2428.76158882045,107,99,214,right
542,1701.56583060798,2031.62618652057,105,137,211,right
542,1968.45360599663,2513.46249957254,120,91,214,right
541,1808.64056684175,2475.90643537114,109,95,215,right
541,1862.97700015441,2165.86913941067,116,124,213,right
540,1850.19195702202,2333.6728305233,113,107,214,right
540,1916.5143682713,2453.53260988946,117,97,215,right
540,1791.06113253471,2442.34569714862,109,98,215,right
540,1846.19663104315,2426.36439323313,112,100,215,right
540,1846.99569623892,2395.20085059793,113,102,215,right
539,1989.22930108677,2183.44857371771,124,121,213,right
539,1848.59382663047,2201.82707322052,114,120,213,right
537,1881.35549965722,2325.68217856555,115,109,215,right
537,1863.77606535018,2103.54205414027,116,129,214,right
537,1856.58447858821,2113.92990168534,115,128,214,right
536,1699.16863502066,2507.86904320212,102,94,218,right
535,1904.52839033468,2027.6308605417,120,137,214,right
534,1996.42088784874,2380.01861187821,124,103,216,right
533,1683.18733110517,2404.78963294722,102,103,219,right
533,1856.58447858821,2431.15878440777,112,99,218,right
533,1836.60784869385,2388.00926383596,112,103,218,right
533,1868.57045652483,2318.49059180358,114,110,217,right
532,2005.21060500225,1969.29910125017,128,142,214,right
531,2028.38349567971,2244.17752859656,127,116,217,right
530,1890.14521681074,2374.42515550779,116,104,219,right
530,1814.23402321217,2431.15878440777,110,99,220,right
529,2037.972278029,2351.25226483033,127,106,218,right
526,1931.69660699101,2344.06067806836,119,107,221,right
524,1838.2059790854,2143.49531392899,114,126,220,right
